 title|url
 WATERJET CUTTER (W0107-19RL22/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-PET-908-1552
 Refrigeration and Air Conditioningn Maintenace Services (W684E-19ES77/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-PWU-066-11548
 Plasma Table (F2563-180058/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-TOR-201-7715
 Laser Engraver (W0103-198119/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-VIC-239-7679
 Rotary Mower (T7054-180093/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-VIC-256-7678
 Single Grain Seed Analyzer & Sorter (5K003-181402/B)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-WPG-016-10755
 Elder Services (50100-19-002)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-19-00859401
 Stud and Bolt (W8482-195168/B)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-19-00860013
 COUPLING HALF,SHAFT (W8482-195474/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-19-00860018
 VALVE, ANGLE (W8482-195358/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-19-00860102
 MCCP upgrade @ 10 CSC Institutions (21120-194521/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-HN-334-76228
 Automatic protein digestion instrument (H4075-184113/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-PV-960-76235
 Swing Away Auger (01580-190653/B)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-CAL-129-6866
 Learning Services Supply Arrangement  (SA): Stream: 6. Training Evaluation Services (W6570-19HO01/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-EDM-607-11547
 Graphic Design (51019-184008/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-HAL-104-5848
 RMSO Insulation, GRP, & Lagging (E6HAL-180004/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-HAL-304-10624
 Furniture - CAT 6 (EB129-192553/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-HAL-307-10622
 Mobile Collaborative Robot Assembly (31184-199531/B)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-KIN-555-7730
 Informatics Professional Services (51019-194001/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-MCT-014-5508
 Sport equipement (W6509-184321/A)|https://buyandsell.gc.ca/procurement-data/tender-notice/PW-MTA-825-15194
